pk,fk,name,category,type,genre,tags,
1,1,33.Architects-animals.m4a,[],[],[],[],
2,1,19.Lofi-pilot.mp3,[],[],[],[],
3,1,49.Lofi-1am.mp3,[],[],[],[],
4,1,45.Lofi-2am.mp3,[],[],[],[],
5,1,37.TheAmityAffliction-dragthelake.opus,[],[],[],[],
6,1,30.SilentTheory-fragileminds.opus,[],[],[],[],
7,1,0.Wage War - Godspeed-mCPFEN3v-8s.m4a,[],[],[],[],
8,1,35.Wage War - Slow Burn-Xt-6LDpzgOw.m4a,[],[],[],[],
9,1,46.WageWar-alive.m4a,[],[],[],[],
10,1,18.FireFromTheGods-rightnow.m4a,[],[],[],[],
11,1,17.TheAmityAffliction-pittsburgh.m4a,[],[],[],[],
12,1,40.Wage War - Death Roll-kUylqZM4biA.m4a,[],[],[],[],
13,1,50.Falling In Reverse - 'Popular Monster'-jakpo7tj7Qw.opus,[],[],[],[],
14,1,3.I Prevail - Hurricane (Official Music Video)-zhMt7kvgzRM.m4a,[],[],[],[],
15,1,11.Falling In Reverse - 'Drugs'-sRAG2NG5bkQ.m4a,[],[],[],[],
16,1,12.Bad Wolves - Killing Me Slowly (Official Music Video)-Dhx_SGsuNfE.m4a,[],[],[],[],
17,1,9 War - Relapse-ViFPVC3Jo24.m4a,[],[],[],[],
18,1,20.Lofi-3am.mp3,[],[],[],[],
19,1,15.Wage War - Never Said Goodbye-kuyRjHhXMyg.opus,[],[],[],[],
20,1,2.WageWar-iftomorrownevercomes.m4a,[],[],[],[],
21,1,10.IPrevail-scars.m4a,[],[],[],[],
22,1,21.I Prevail - Every Time You Leave (Official Music Video) ft. Delaney Jane-5KDR0M-Edrg.m4a,[],[],[],[],
23,1,26.I Prevail - Breaking Down (Official Music Video)-6ZkI3ASz8Lg.m4a,[],[],[],[],
24,1,34.BadWolves-nomasters.m4a,[],[],[],[],
25,1,43.WageWar-surrounded.m4a,[],[],[],[],
26,1,25.kmac2021-butterfly.opus,[],[],[],[],
27,1,22.WageWar-theriver.m4a,[],[],[],[],
28,1,24.Architects-doomsday.m4a,[],[],[],[],
29,1,36.Kmac2021-wolfinsheepsclothing.m4a,[],[],[],[],
30,1,32.TheAmityAffliction-soakmeinbleach.m4a,[],[],[],[],
31,1,48.BAD WOLVES 'Learn To Live' Official Music Video-LewUgNvsfWQ.m4a,[],[],[],[],
32,1,4.Wage War - True Colors-V6E1c1xxsaM.m4a,[],[],[],[],
33,1,44.TheAmityAffliction-Dontleanonme.opus,[],[],[],[],
34,1,38.Architects-Meteors.m4a,[],[],[],[],
35,1,41.Architects-deadbutterflies.opus,[],[],[],[],
36,1,27.Breaking Benjamin - I Will Not Bow (Official Video)-7qrRzNidzIc.opus,[],[],[],[],
37,1,1.Falling In Reverse - 'The Drug In Me Is You'-rgWr2nln83s.m4a,[],[],[],[],
38,1,42.LiL Lotus - 'Think Of Me Tonight'-_BVSiGEyUfY.m4a,[],[],[],[],
39,1,13.Three Days Grace - Home (Official Video)-7NQ8OCcQ3LA.m4a,[],[],[],[],
40,1,29.Three Days Grace - I Am Machine (Lyric)-8Zx6RXGNISk.m4a,[],[],[],[],
41,1,28.Three Days Grace - Just Like You-04fQTmvFfGo.m4a,[],[],[],[],
42,1,8.Three Days Grace - Never Too Late-lL2ZwXj1tXM.opus,[],[],[],[],
43,1,39.Three Days Grace - Riot (Audio)-ixZDTiXiHsc.m4a,[],[],[],[],
44,1,23.Wage War - Circle The Drain-NXn-dI9fFko.m4a,[],[],[],[],
45,1,6.Wage War - Manic (Official Music Video)-1C6lxliErIs.m4a,[],[],[],[],
46,1,16.Memphis May Fire - Blood & Water (Visualizer)-SUNxjBs5kCA.m4a,[],[],[],[],
47,1,5.JINJER - Pisces (Live Session) _ Napalm Records-SQNtGoM3FVU.opus,[],[],[],[],
48,1,7alling In Reverse - 'I'm Not A Vampire (Revamped)'-2nWmBJxW9q0.opus,[],[],[],[],
49,1,47.SION - 'The Blade' (Official Music Video)-ioN0aIaIybc.m4a,[],[],[],[],
50,1,14S I LAY DYING - Roots Below (OFFICIAL TRACK VISUALIZER VIDEO)-F7VlJyrELz0.m4a,[],[],[],[],
51,1,Wage War - Johnny Cash (Stripped)-RO1gD70khWM.opus,[],[],[],[],
52,1,Wage War  - Johnny Cash-AnFBqJA18iY.m4a,[],[],[],[],
53,1,The Amity Affliction 'Like Love' Official Music Video-Sxo727bQFRo.m4a,[],[],[],[],
54,1,The Amity Affliction 'Give Up The Ghost'-23k5qxHslv8.m4a,[],[],[],[],
55,1,SION - 'Drown' (Official Music Video)-_Hil0oNKRdc.m4a,[],[],[],[],
56,1,Fire From The Gods - Excuse Me (Official Music Video)-F3wMPkrz3Jw.m4a,[],[],[],[],
57,1,SION - 'More Than Just Myself' (Official Music Video)-UcTVQzhu6Hg.m4a,[],[],[],[],
58,1,Killswitch Engage - Holy Diver [OFFICIAL VIDEO]-NR7dG_m3MsI.m4a,[],[],[],[],
59,1,Killswitch Engage - The End Of Heartache (Resident Evil version)-GVP5gJBmRtA.opus,[],[],[],[],
